BasisVolume,ClosingPrice,CompanyName,BestBuyPrice,BestBuyQuantity,BestSellPrice,BestSellQuantity,NoBestBuy,NoBestSell,FirstTradedPrice,GroupStateID,HighAllowedPrice,HighPrice,LastTradedPrice,LowAllowedPrice,LowPrice,MTradeDate,MaxQuantityOrder,MinQuantityOrder,isin,PreClosingPrice,pv,RefPrice,SectorCode,ticker,SymbolStateId,TotalNumberOfSharesTraded,TotalNumberOfTrades,TotalTradeValue,TradeDate,varSign,ClosingPriceVar,ClosingPriceVarPercent,LastTradedPriceVar,LastTradedPriceVarPercent,tse_code,SectorCodeId,cs
1.0,2367.0,اختیارخ اهرم-22000-1403/03/23,2450.0,477,2451.0,3,1,1,2220.0,0,500000.0,2460.0,2450.0,1.0,2200.0,/Date(1714562999000)/,1000.0,1.0,IRO9AHRM6981,2286.0,7.17,2286.0,68,ضهرم3007,1,19238,764,45527392000.0,1403/2/12 14:59,0,81.0,3.54,164.0,7.17,38099524864217763,,1000
1.0,11539.0,اختیارخ اهرم-12000-1403/03/23,11710.0,1,11800.0,1,1,1,11450.0,0,500000.0,11694.0,11694.0,1.0,11440.0,/Date(1714556078000)/,1000.0,1.0,IRO9AHRM6911,11432.0,2.29,11432.0,68,ضهرم3000,1,1778,48,20516502000.0,1403/2/12 13:4,0,107.0,0.94,262.0,2.29,62420619926203512,,1000
1.0,10.0,اختیارخ خودرو-4000-1403/03/09,9.0,100,11.0,5000,1,5,8.0,0,100000.0,11.0,10.0,1.0,8.0,/Date(1714553981000)/,1000.0,1.0,IRO9IKCO81M1,11.0,-9.09,11.0,34,ضخود3088,1,80046,223,769050000.0,1403/2/12 12:29,0,-1.0,-9.09,-1.0,-9.09,414085078149021,,1000
