contract_size,ua_tse_code,ua_ticker,ua_close_price,ua_yesterday_price,begin_date,end_date,strike_price,days_to_maturity,tse_code,last_price,open_positions,close_price,yesterday_price,notional_value,trades_value,trades_volume,trades_num,name,ticker,bid_price,bid_volume,ask_price,ask_volume,yesterday_open_positions,option_type
1000,69143674941561637,پترول,1945,1916,20240110,20240515,1800,58,41400073507746570,1,0,1,1,0.0,0.0,0,0,اختيارخ پترول-1800-1403/02/26,ضرول2004,0,0,0,0,0,call
1000,69143674941561637,پترول,1945,1916,20240227,20240717,1400,121,8468276714163273,1,0,1,1,0.0,0.0,0,0,اختيارخ پترول-1400-1403/04/27,ضرول4001,0,0,0,0,0,call
10,67675656072510693,پالايش,149220,145210,20240302,20240428,180000,41,29072025374178205,1,0,1,1,0.0,0.0,0,0,اختيارخ پالايش-180000-03/02/09,ضپلا2009,0,0,0,0,0,call
1000,64216772923447100,شتاب,10770,10410,20231030,20240424,10000,37,1350373587624028,1349,35873,1192,1061,6418920000.0,710415000.0,596,37,اختيارخ شتاب-10000-1403/02/05,ضتاب0206,1160,5,1388,15,35974,call
1000,17914401175772326,اهرم,21900,21300,20231204,20240515,26000,58,22838346224522314,440,264,492,293,700480000.0,15748000.0,32,5,اختيارخ اهرم-26000-1403/02/26,ضهرم2009,430,81,580,8,234,call
1000,42799209630949274,بهين رو,11130,11080,20231115,20240619,12000,93,4298200194991131,800,17849,830,830,0.0,0.0,0,0,اختيارخ بهين رو-12000-03/03/30,ضهين0306,540,100,1170,100,17849,call
1000,42799209630949274,بهين رو,11130,11080,20231115,20240619,15000,93,51291811866521004,180,1418,180,180,0.0,0.0,0,0,اختيارخ بهين رو-15000-03/03/30,ضهين0309,50,50,250,100,1418,call
1000,26824673819862694,خبهمن,1915,1894,20240109,20240417,2600,30,55460596064019061,1,0,1,1,0.0,0.0,0,0,اختيارخ خبهمن-2600-1403/01/29,ضهمن0109,0,0,0,0,0,call
2011,778253364357513,وبملت,2386,2289,20231223,20240417,2486,30,25435426087406215,98,90999,101,102,166556715152.0,7094417866.0,35003,115,اختيارخ وبملت-2486-1403/01/29,ضملت0106,96,2000,109,150,59327,call
1000,34557241988629814,بركت,5670,5580,20240227,20240710,8000,114,18285536742325726,1,0,1,1,0.0,0.0,0,0,اختيارخ بركت-8000-1403/04/20,ضبرك4010,1,1000,235,200,0,call
1500,63917421733088077,وتجارت,1519,1492,20240106,20240508,1333,51,18131654495271786,260,203422,262,249,37647655500.0,6490909500.0,16523,104,اختيارخ وتجارت-1333-1403/02/19,ضجار2036,260,100,270,10,202627,call
1500,63917421733088077,وتجارت,1519,1492,20240106,20240508,2167,51,53160549526834915,5,681,5,5,0.0,0.0,0,0,اختيارخ وتجارت-2167-1403/02/19,ضجار2042,2,15,10,600,681,call
1000,48990026850202503,خگستر,5130,5040,20231225,20240421,5000,34,16554204006936671,420,2,420,420,0.0,0.0,0,0,اختيارخ خگستر-5000-1403/02/02,ضستر2021,0,0,850,1000,2,call
1000,65883838195688438,خودرو,3229,3179,20240224,20240626,2400,100,41698901912275839,350,100,350,350,0.0,0.0,0,0,اختيارخ خودرو-2400-1403/04/06,ضخود4039,1,1000,0,0,100,call
1000,35366681030756042,شبندر,11120,10710,20240101,20240508,11000,51,24480513805076761,1,0,1,1,0.0,0.0,0,0,اختيارخ شبندر-11000-1403/02/19,ضبدر2053,50,2,0,0,0,call
1000,7745894403636165,شپنا,5660,5470,20240303,20240703,7500,107,17263578603229657,1,0,1,1,0.0,0.0,0,0,اختيارخ شپنا-7500-1403/04/13,ضشنا4011,1,1000,0,0,0,call
10,64942549055019553,سرو,140630,137350,20231106,20240529,110000,72,63692039653410123,38500,10778,38500,34673,350325000.0,96250000.0,250,3,اختيارخ سرو-110000-1403/03/09,ضسرو0304,30000,400,37320,35,10778,call
1000,70541934393301867,سلام,16390,16090,20231213,20240602,24000,76,50405229609989426,1000,2,1000,1000,0.0,0.0,0,0,اختيارخ سلام-24000-1403/03/13,ضسلا3009,0,0,0,0,2,call
1000,48990026850202503,خگستر,5130,5040,20240224,20240717,6500,121,25315494609498193,1,0,1,1,0.0,0.0,0,0,اختيارخ خگستر-6500-1403/04/27,ضستر4009,1,2000,0,0,0,call
1000,65883838195688438,خودرو,3229,3179,20240107,20240424,2800,37,58617842606187914,547,547795,536,520,27260460000.0,4538457000.0,8475,50,اختيارخ خودرو-2800-1403/02/05,ضخود2044,525,100,548,10,548721,call
1000,65883838195688438,خودرو,3229,3179,20240203,20240529,2200,72,36123120136621233,1120,23858,1146,1146,0.0,0.0,0,0,اختيارخ خودرو-2200-1403/03/09,ضخود3080,0,0,1800,120,23858,call
1000,7681671915916933,جهش,12350,12060,20231115,20240501,7000,44,47259698272821324,5899,12486,5645,5584,749080000.0,344353000.0,61,2,اختيارخ جهش-7000-1403/02/12,ضجهش0201,5500,5,6235,7,12486,call
1000,7681671915916933,جهش,12350,12060,20231115,20240501,8000,44,14103036642889254,4730,5289,4730,4730,0.0,0.0,0,0,اختيارخ جهش-8000-1403/02/12,ضجهش0203,4490,500,5278,500,5289,call
1300,35425587644337450,فملي,6840,6560,20231127,20240407,8462,20,27507360034269162,1,0,1,1,0.0,0.0,0,0,اختيارخ فملي-8462-1403/01/19,ضملي0110,0,0,0,0,0,call
1300,35425587644337450,فملي,6840,6560,20240123,20240602,4615,76,20431206924689800,1,0,1,1,0.0,0.0,0,0,اختيارخ فملي-4615-1403/03/13,ضملي3033,0,0,0,0,0,call
