contract_size,ua_tse_code,ua_ticker,ua_close_price,ua_yesterday_price,begin_date,end_date,strike_price,days_to_maturity,tse_code,last_price,open_positions,close_price,yesterday_price,notional_value,trades_value,trades_volume,trades_num,name,ticker,bid_price,bid_volume,ask_price,ask_volume,yesterday_open_positions,option_type
1257,58741071099161284,فرابورس,4127,4162,20231212,20241208,6722,30,22159055442319640,1,0,1,1,0.0,0.0,0,0,اختيارخ فرابورس-6722-14030918,ضفرابورس904,1,80,0,0,0,call
1000,49270349234092953,خاور,1295,1334,20241012,20250309,1700,121,31041096056895707,1,0,1,1,0.0,0.0,0,0,اختيارخ خاور-1700-14031219,ضخاور1207,0,0,0,0,0,call
1000,47041908051542008,هم وزن,14633,14746,20240722,20241124,14000,16,6490806769153676,700,1769,700,684,1463300000.0,70000000.0,100,2,اختيارخ هم وزن-14000-14030904,ضهم وزن907,500,100,721,100,1769,call
1000,67141987086032267,موج,11745,11745,20240624,20241117,9000,9,30542157581347833,2750,4874,2741,2009,974835000.0,227500000.0,83,3,اختيارخ موج-9000-14030827,ضموج801,1500,100,5500,50,4874,call
1000,35831329532779850,نارنج اهرم,8075,8123,20240826,20241201,7500,23,20328433547365196,1000,301,1000,1000,0.0,0.0,0,0,اختيارخ نارنج -7500-14030911,ضنارنج904,0,0,0,0,301,call
10,67522512921942106,پادا,144803,145910,20240911,20250302,100000,114,36185197625334195,1,0,1,1,0.0,0.0,0,0,اختيارخ پادا-100000-14031212,ضپادا1201,0,0,0,0,0,call
1000,25211433301660888,خپارس,699,712,20240814,20241229,550,51,10929877206719532,240,20,252,252,0.0,0.0,0,0,اختيارخ خپارس-550-14031009,ضخپارس1002,10,300,0,0,20,call
1000,25211433301660888,خپارس,699,712,20241015,20250309,850,121,26881943959414886,1,0,1,1,0.0,0.0,0,0,اختيارخ خپارس-850-14031219,ضخپارس1222,1,100,0,0,0,call
1000,23557166059925779,فصبا,3468,3475,20240819,20241208,3400,30,43188000517304567,300,8502,300,300,0.0,0.0,0,0,اختيارخ فصبا-3400-14030918,ضفصبا907,3,1000,0,0,8502,call
1000,66416853783916493,دي,623,641,20241008,20241222,650,44,40696425227447068,1,0,1,1,0.0,0.0,0,0,اختيارخ دي-650-14031002,ضدي1006,1,1000,0,0,0,call
1000,50792786683910016,كرمان,809,788,20241013,20241208,900,30,21904739219256879,1,0,1,1,0.0,0.0,0,0,اختيارخ كرمان-900-14030918,ضكرمان903,0,0,0,0,0,call
1000,50792786683910016,كرمان,809,788,20241013,20241208,1400,30,3275533981078439,1,0,1,1,0.0,0.0,0,0,اختيارخ كرمان-1400-14030918,ضكرمان909,0,0,0,0,0,call
